Student ID,Department
10366,Arts and Sciences
5153,Business
8320,Business
10911,Arts and Sciences
6926,Business
4981,Arts and Sciences
5594,Arts and Sciences
3192,Arts and Sciences
8569,Engineering
4814,Engineering
6010,Business
3756,Arts and Sciences
6196,Arts and Sciences
8951,Business
10311,Business
2174,Engineering
2921,Arts and Sciences
3521,Business
2391,Engineering
2268,Engineering
5484,Engineering
4921,Arts and Sciences
5615,Business
9704,Business
9969,Engineering
8565,Business
10877,Engineering
6745,Engineering
7495,Business
3193,Business
2604,Engineering
8573,Arts and Sciences
5071,Engineering
7900,Arts and Sciences
3892,Engineering
10830,Business
1803,Arts and Sciences
5582,Engineering
7574,Engineering
10850,Engineering
9978,Engineering
8597,Arts and Sciences
4664,Arts and Sciences
4674,Arts and Sciences
9211,Arts and Sciences
9904,Engineering
1640,Engineering
8606,Arts and Sciences
8070,Arts and Sciences
2515,Arts and Sciences
5704,Engineering
6636,Business
1564,Arts and Sciences
5889,Engineering
5893,Business
6720,Business
3157,Arts and Sciences
4201,Arts and Sciences
5784,Engineering
3802,Arts and Sciences
10178,Arts and Sciences
3421,Business
4022,Arts and Sciences
3323,Business
10341,Engineering
9386,Arts and Sciences
2451,Engineering
7874,Arts and Sciences
3363,Business
6422,Engineering
6450,Arts and Sciences
8908,Arts and Sciences
9909,Engineering
10934,Engineering
4117,Business
5493,Engineering
2651,Arts and Sciences
6779,Arts and Sciences
7710,Business
2005,Arts and Sciences
1865,Arts and Sciences
6429,Engineering
9410,Arts and Sciences
6573,Engineering
7948,Arts and Sciences
9751,Engineering
6641,Engineering
2483,Engineering
8785,Engineering
10832,Arts and Sciences
7803,Arts and Sciences
9206,Business
3737,Engineering
9390,Engineering
5402,Business
7306,Engineering
5163,Arts and Sciences
6835,Engineering
4083,Business
2522,Business
6770,Business
5740,Arts and Sciences
10035,Business
7119,Arts and Sciences
7262,Business
5009,Engineering
4511,Engineering
1885,Arts and Sciences
8787,Engineering
7656,Arts and Sciences
6839,Business
3010,Arts and Sciences
7470,Arts and Sciences
2581,Business
7182,Arts and Sciences
3244,Arts and Sciences
10401,Engineering
8919,Business
9269,Arts and Sciences
7600,Engineering
7482,Business
7297,Engineering
3395,Arts and Sciences
1972,Arts and Sciences
1565,Engineering
6814,Arts and Sciences
1733,Engineering
1427,Engineering
9150,Engineering
3526,Engineering
2915,Business
4058,Engineering
9963,Engineering
7805,Engineering
9962,Engineering
10355,Engineering
2827,Business
9412,Arts and Sciences
6027,Engineering
8009,Engineering
6791,Business
5983,Arts and Sciences
3885,Engineering
7669,Engineering
9614,Business
10572,Engineering
9430,Engineering
6858,Engineering
6346,Engineering
8130,Business
8303,Arts and Sciences
5286,Arts and Sciences
3031,Arts and Sciences
10202,Arts and Sciences
6179,Business
9800,Business
9717,Business
8657,Engineering
1566,Engineering
9972,Business
3674,Business
6552,Business
10106,Business
10907,Engineering
3575,Arts and Sciences
9106,Arts and Sciences
9478,Arts and Sciences
2356,Engineering
3511,Business
10051,Arts and Sciences
3103,Arts and Sciences
3404,Engineering
8574,Arts and Sciences
9906,Business
4812,Arts and Sciences
9796,Arts and Sciences
6455,Engineering
6374,Business
2449,Business
6149,Engineering
2262,Engineering
9506,Arts and Sciences
7709,Business
6894,Engineering
8604,Business
4581,Arts and Sciences
9031,Arts and Sciences
2520,Engineering
4098,Business
5622,Engineering
4323,Arts and Sciences
5411,Engineering
3477,Engineering
2032,Engineering
10334,Arts and Sciences
6333,Engineering
8710,Business
6869,Engineering
9045,Arts and Sciences
9009,Arts and Sciences
9581,Engineering
9512,Business
4473,Business
6588,Business
4300,Engineering
2793,Engineering
5190,Engineering
3894,Arts and Sciences
9195,Arts and Sciences
6437,Business
9867,Business
2958,Arts and Sciences
9741,Engineering
1393,Engineering
3667,Business
4599,Arts and Sciences
4439,Business
6823,Arts and Sciences
3246,Arts and Sciences
9624,Engineering
6705,Business
5171,Engineering
1225,Business
6301,Arts and Sciences
2821,Business
9870,Arts and Sciences
10237,Arts and Sciences
7525,Engineering
2213,Engineering
8731,Business
10704,Engineering
10207,Business
7374,Engineering
10434,Business
6359,Engineering
2838,Engineering
7918,Business
6293,Business
3243,Business
6600,Arts and Sciences
8511,Business
3224,Engineering
9024,Arts and Sciences
6493,Arts and Sciences
6941,Business
6987,Arts and Sciences
9947,Arts and Sciences
2108,Business
3296,Business
2502,Engineering
7229,Business
3190,Engineering
10753,Engineering
4159,Business
1482,Arts and Sciences
4399,Engineering
7017,Business
2766,Engineering
9065,Business
9602,Arts and Sciences
7690,Business
9343,Engineering
7143,Arts and Sciences
5963,Arts and Sciences
6659,Arts and Sciences
4622,Engineering
5157,Arts and Sciences
10684,Engineering
4696,Business
3427,Business
8794,Business
3332,Arts and Sciences
1622,Business
9443,Engineering
8595,Business
3639,Arts and Sciences
4959,Arts and Sciences
1675,Business
1634,Engineering
1832,Business
5425,Engineering
10854,Arts and Sciences
2529,Business
4750,Arts and Sciences
6213,Engineering
3138,Engineering
8918,Engineering
8308,Business
8555,Arts and Sciences
2243,Arts and Sciences
9545,Engineering
2641,Arts and Sciences
6562,Business
3208,Arts and Sciences
6924,Engineering
10798,Engineering
2365,Engineering
1275,Engineering
4216,Engineering
4661,Engineering
10486,Arts and Sciences
5741,Engineering
9408,Arts and Sciences
8886,Engineering
10384,Arts and Sciences
8253,Engineering
8509,Business
5240,Engineering
2457,Engineering
6998,Business
2629,Business
10150,Business
8991,Engineering
7042,Arts and Sciences
3832,Business
2919,Engineering
5835,Engineering
10452,Engineering
4846,Arts and Sciences
4158,Arts and Sciences
8178,Engineering
8957,Engineering
8299,Arts and Sciences
2357,Business
6610,Engineering
4017,Engineering
4859,Engineering
4623,Business
5294,Engineering
2059,Engineering
10052,Arts and Sciences
7845,Business
3201,Arts and Sciences
4444,Arts and Sciences
6081,Business
5374,Engineering
7448,Engineering
7515,Arts and Sciences
8563,Business
2472,Engineering
2498,Engineering
3980,Engineering
3132,Engineering
1990,Arts and Sciences
8021,Business
7665,Arts and Sciences
10840,Arts and Sciences
6116,Engineering
10826,Business
3935,Business
5890,Arts and Sciences
9378,Arts and Sciences
10754,Business
7330,Engineering
1344,Arts and Sciences
5568,Arts and Sciences
3691,Business
6251,Arts and Sciences
5082,Arts and Sciences
7637,Arts and Sciences
10643,Arts and Sciences
1775,Arts and Sciences
1859,Arts and Sciences
3507,Business
6354,Business
8579,Engineering
5176,Business
10128,Engineering
8750,Business
9079,Business
5787,Engineering
10898,Engineering
3733,Arts and Sciences
10466,Arts and Sciences
3409,Business
9318,Business
9656,Engineering
6747,Business
1372,Business
2406,Arts and Sciences
3317,Arts and Sciences
3914,Engineering
10567,Engineering
1080,Music
8549,Business
10129,Engineering
9469,Arts and Sciences
2433,Business
8679,Business
5478,Engineering
7514,Business
5236,Engineering
1251,Business
4992,Arts and Sciences
1272,Business
6763,Arts and Sciences
1392,Business
9062,Engineering
9032,Business
7985,Engineering
1201,Arts and Sciences
5496,Business
10650,Business
9428,Engineering
4970,Arts and Sciences
5842,Arts and Sciences
1592,Arts and Sciences
3318,Business
3086,Arts and Sciences
1522,Engineering
9799,Arts and Sciences
6510,Engineering
10457,Engineering
10653,Arts and Sciences
5262,Business
5516,Engineering
10509,Arts and Sciences
8054,Engineering
3655,Business
1702,Engineering
4530,Arts and Sciences
1279,Engineering
8155,Business
10553,Business
4024,Engineering
7277,Engineering
4065,Business
6704,Engineering
6449,Arts and Sciences
7234,Business
7760,Arts and Sciences
5514,Arts and Sciences
6671,Engineering
3450,Arts and Sciences
5662,Business
7567,Arts and Sciences
6803,Business
8904,Arts and Sciences
6155,Engineering
4887,Engineering
6684,Arts and Sciences
7191,Business
7726,Arts and Sciences
6729,Arts and Sciences
10799,Arts and Sciences
1234,Arts and Sciences
4586,Engineering
10247,Arts and Sciences
7304,Arts and Sciences
8280,Engineering
7015,Business
8166,Engineering
6491,Arts and Sciences
1906,Engineering
8701,Business
1498,Arts and Sciences
5675,Arts and Sciences
4313,Arts and Sciences
3799,Business
10111,Engineering
4452,Engineering
10254,Arts and Sciences
8234,Business
7977,Arts and Sciences
4418,Arts and Sciences
1551,Engineering
4619,Arts and Sciences
1850,Engineering
8053,Business
9884,Arts and Sciences
10844,Business
5417,Engineering
5863,Arts and Sciences
2816,Engineering
9943,Engineering
5641,Engineering
9758,Engineering
4138,Business
2964,Business
3400,Arts and Sciences
3859,Arts and Sciences
2271,Engineering
4587,Arts and Sciences
8254,Business
4949,Arts and Sciences
4353,Engineering
9117,Business
4050,Arts and Sciences
10899,Business
10245,Business
8798,Business
7536,Business
7086,Engineering
6412,Business
6285,Arts and Sciences
5876,Arts and Sciences
3328,Arts and Sciences
3765,Business
6516,Business
5699,Business
8713,Business
8539,Business
10677,Engineering
4071,Business
2956,Engineering
1229,Engineering
8608,Engineering
9712,Arts and Sciences
10806,Business
1407,Arts and Sciences
1917,Engineering
6882,Engineering
2927,Business
2751,Engineering
7108,Arts and Sciences
3698,Business
5836,Arts and Sciences
1942,Engineering
2143,Engineering
9856,Engineering
2371,Engineering
9589,Arts and Sciences
2206,Engineering
6580,Business
6154,Engineering
6547,Arts and Sciences
7618,Arts and Sciences
6723,Engineering
7766,Arts and Sciences
7544,Business
5123,Business
5860,Business
8571,Business
10756,Engineering
4456,Engineering
5850,Engineering
8428,Arts and Sciences
4679,Engineering
8485,Engineering
5753,Arts and Sciences
10725,Arts and Sciences
3291,Business
4616,Arts and Sciences
1406,Engineering
5416,Engineering
4747,Arts and Sciences
4609,Arts and Sciences
1914,Engineering
8419,Business
6101,Business
8660,Engineering
8598,Arts and Sciences
9579,Engineering
9338,Engineering
3779,Business
8947,Engineering
8294,Engineering
6872,Business
8207,Arts and Sciences
10153,Engineering
4796,Engineering
9838,Engineering
8622,Arts and Sciences
5764,Engineering
4181,Business
1848,Engineering
2413,Arts and Sciences
6453,Business
2841,Engineering
2897,Arts and Sciences
5337,Business
1401,Arts and Sciences
10855,Engineering
2585,Business
10322,Engineering
1310,Engineering
10555,Engineering
9942,Business
9398,Engineering
2191,Engineering
9587,Arts and Sciences
4183,Arts and Sciences
2111,Arts and Sciences
2258,Engineering
3354,Arts and Sciences
7703,Arts and Sciences
10768,Arts and Sciences
9995,Arts and Sciences
9902,Business
4072,Business
1590,Engineering
9191,Engineering
3966,Business
4397,Arts and Sciences
1283,Business
3572,Arts and Sciences
6273,Arts and Sciences
6783,Engineering
5816,Arts and Sciences
6172,Engineering
7078,Engineering
2598,Business
8468,Arts and Sciences
9719,Arts and Sciences
9675,Arts and Sciences
4445,Engineering
2986,Engineering
3686,Arts and Sciences
9369,Arts and Sciences
6644,Engineering
3105,Business
5879,Arts and Sciences
4996,Arts and Sciences
9090,Engineering
5327,Arts and Sciences
6173,Business
8136,Arts and Sciences
8587,Arts and Sciences
6395,Business
4034,Engineering
10203,Engineering
2584,Arts and Sciences
5442,Engineering
7550,Arts and Sciences
7125,Arts and Sciences
9116,Arts and Sciences
2194,Business
2282,Arts and Sciences
4700,Arts and Sciences
5686,Business
6158,Engineering
2405,Business
4016,Engineering
9434,Arts and Sciences
8826,Engineering
2057,Engineering
4739,Business
7394,Arts and Sciences
3476,Engineering
10261,Arts and Sciences
7616,Arts and Sciences
7160,Arts and Sciences
1758,Arts and Sciences
8992,Engineering
2820,Arts and Sciences
7198,Arts and Sciences
6156,Business
7457,Engineering
3052,Business
3726,Business
5808,Arts and Sciences
4946,Business
4693,Engineering
6420,Arts and Sciences
5680,Business
5362,Business
6007,Arts and Sciences
8354,Engineering
3694,Engineering
6434,Engineering
7763,Arts and Sciences
3093,Engineering
10211,Business
10442,Business
3126,Arts and Sciences
9388,Arts and Sciences
9212,Business
6774,Business
4763,Engineering
7599,Arts and Sciences
10361,Business
9598,Business
1306,Business
8445,Arts and Sciences
1707,Arts and Sciences
7860,Engineering
6735,Business
4882,Business
6445,Arts and Sciences
9056,Business
2292,Arts and Sciences
9164,Engineering
2473,Engineering
5941,Arts and Sciences
4499,Business
4862,Arts and Sciences
6602,Business
3789,Business
6978,Arts and Sciences
1514,Engineering
3909,Arts and Sciences
8148,Business
1268,Business
4636,Business
4351,Business
5647,Engineering
5087,Arts and Sciences
5485,Arts and Sciences
1339,Engineering
5054,Arts and Sciences
9319,Arts and Sciences
8864,Business
2519,Business
8013,Arts and Sciences
4490,Arts and Sciences
7717,Business
1744,Arts and Sciences
9916,Business
4318,Business
7712,Engineering
5249,Engineering
7962,Engineering
7785,Engineering
5265,Arts and Sciences
2266,Business
2684,Business
2230,Business
2833,Engineering
9628,Engineering
4731,Business
4196,Business
2242,Engineering
8547,Business
9892,Arts and Sciences
9074,Business
2180,Arts and Sciences
1353,Engineering
2674,Arts and Sciences
3358,Business
9258,Arts and Sciences
10435,Business
9952,Engineering
3735,Arts and Sciences
9471,Engineering
7556,Business
8474,Arts and Sciences
10419,Engineering
6259,Arts and Sciences
7030,Business
10719,Business
4727,Business
1358,Business
5467,Business
3262,Engineering
5297,Engineering
6482,Arts and Sciences
2746,Engineering
7968,Business
8846,Arts and Sciences
9315,Business
8510,Arts and Sciences
10698,Business
1567,Engineering
4579,Engineering
3186,Engineering
7467,Business
4716,Engineering
3489,Engineering
10057,Business
3873,Business
6264,Engineering
3882,Business
8550,Business
7352,Business
1593,Business
1628,Arts and Sciences
3134,Engineering
3182,Business
8674,Business
9255,Arts and Sciences
6235,Engineering
8700,Engineering
7259,Business
6295,Business
4173,Arts and Sciences
6145,Business
9064,Engineering
9690,Arts and Sciences
8240,Engineering
6166,Engineering
7046,Business
2453,Arts and Sciences
6922,Arts and Sciences
9829,Business
2853,Business
8590,Business
4320,Engineering
9926,Engineering
5106,Engineering
3446,Arts and Sciences
1518,Engineering
6591,Business
8083,Engineering
5542,Business
2995,Engineering
5903,Arts and Sciences
6583,Business
6754,Business
5982,Arts and Sciences
8373,Engineering
2563,Business
5979,Arts and Sciences
2427,Business
2168,Arts and Sciences
9054,Business
8507,Arts and Sciences
5729,Engineering
8035,Arts and Sciences
7868,Arts and Sciences
6977,Engineering
7117,Arts and Sciences
8813,Arts and Sciences
4528,Engineering
5932,Engineering
9421,Business
2720,Arts and Sciences
3811,Business
9091,Business
7842,Business
3808,Business
3191,Business
7145,Engineering
10100,Business
10140,Arts and Sciences
7694,Business
2978,Arts and Sciences
1781,Business
3365,Engineering
3629,Business
10405,Engineering
2762,Business
10596,Business
1470,Arts and Sciences
8691,Engineering
8820,Engineering
1445,Engineering
5938,Engineering
5038,Business
10791,Business
2857,Business
1877,Engineering
6993,Arts and Sciences
8738,Business
7077,Engineering
1276,Engineering
8134,Business
7589,Arts and Sciences
1561,Business
8631,Arts and Sciences
9040,Arts and Sciences
4553,Arts and Sciences
1627,Arts and Sciences
3187,Business
9609,Arts and Sciences
10369,Business
10095,Business
6165,Arts and Sciences
6742,Engineering
4286,Engineering
7561,Engineering
9414,Business
4061,Arts and Sciences
1587,Arts and Sciences
8268,Arts and Sciences
6785,Business
10818,Engineering
4765,Business
2976,Engineering
6393,Engineering
6410,Business
10371,Engineering
3962,Engineering
2561,Arts and Sciences
7251,Arts and Sciences
6084,Business
4966,Business
6663,Engineering
1764,Business
9576,Arts and Sciences
4188,Engineering
4578,Business
7047,Arts and Sciences
4910,Engineering
4612,Arts and Sciences
1061,Music
7126,Arts and Sciences
6665,Engineering
8670,Arts and Sciences
6606,Business
3938,Business
7035,Arts and Sciences
8859,Engineering
2110,Arts and Sciences
3908,Engineering
6910,Arts and Sciences
6913,Engineering
2855,Business
4901,Engineering
2811,Arts and Sciences
9424,Business
5141,Arts and Sciences
4010,Engineering
5866,Engineering
8839,Arts and Sciences
2393,Business
1085,Math
6498,Arts and Sciences
4827,Engineering
8014,Arts and Sciences
10641,Business
7174,Arts and Sciences
7085,Arts and Sciences
9760,Engineering
2372,Business
8112,Arts and Sciences
3471,Business
3761,Arts and Sciences
7214,Arts and Sciences
5072,Arts and Sciences
5742,Arts and Sciences
3461,Business
7541,Business
9358,Engineering
9101,Business
1615,Engineering
4952,Arts and Sciences
8480,Arts and Sciences
2805,Engineering
6830,Engineering
6856,Arts and Sciences
5620,Engineering
1249,Arts and Sciences
4582,Arts and Sciences
10655,Arts and Sciences
1588,Engineering
9232,Business
6813,Engineering
1338,Business
2942,Engineering
4176,Business
6854,Arts and Sciences
5033,Arts and Sciences
5052,Arts and Sciences
5619,Arts and Sciences
4036,Arts and Sciences
8439,Arts and Sciences
10241,Arts and Sciences
4554,Business
7379,Arts and Sciences
6769,Engineering
4345,Engineering
6495,Engineering
1486,Business
7748,Engineering
3512,Engineering
7701,Arts and Sciences
9597,Business
7158,Arts and Sciences
10836,Arts and Sciences
3893,Arts and Sciences
7242,Business
6001,Arts and Sciences
9159,Engineering
5967,Business
10624,Engineering
10309,Business
5317,Engineering
10748,Arts and Sciences
9775,Arts and Sciences
2900,Arts and Sciences
8793,Business
5575,Engineering
9622,Arts and Sciences
6569,Business
5406,Arts and Sciences
4321,Business
9862,Business
8176,Engineering
8967,Engineering
6949,Arts and Sciences
10316,Engineering
3640,Business
10408,Business
4502,Arts and Sciences
8304,Engineering
8532,Arts and Sciences
2264,Engineering
7949,Arts and Sciences
2504,Engineering
2834,Arts and Sciences
7202,Business
7244,Business
9360,Engineering
9230,Engineering
9229,Business
6171,Arts and Sciences
2432,Engineering
3778,Engineering
2752,Arts and Sciences
5673,Engineering
10437,Engineering
5458,Arts and Sciences
2696,Engineering
7320,Engineering
4221,Business
2812,Business
5657,Arts and Sciences
1576,Engineering
2047,Arts and Sciences
1509,Engineering
9473,Arts and Sciences
1399,Engineering
10614,Arts and Sciences
10447,Arts and Sciences
3479,Engineering
6590,Arts and Sciences
5131,Business
3373,Business
6688,Business
5724,Engineering
9897,Arts and Sciences
1081,Math
3462,Business
5383,Engineering
10540,Engineering
1070,Music
1453,Engineering
3941,Arts and Sciences
9476,Business
4976,Business
4567,Arts and Sciences
6053,Arts and Sciences
10906,Engineering
10350,Arts and Sciences
8929,Arts and Sciences
4263,Arts and Sciences
3741,Business
4486,Business
2601,Arts and Sciences
9815,Arts and Sciences
9155,Engineering
8202,Business
10018,Engineering
5064,Arts and Sciences
8824,Engineering
8122,Arts and Sciences
5068,Business
9930,Engineering
9738,Arts and Sciences
9320,Arts and Sciences
5998,Business
7752,Arts and Sciences
2244,Business
4169,Arts and Sciences
6739,Engineering
10703,Engineering
1074,Math
8272,Arts and Sciences
5518,Engineering
4029,Engineering
7441,Arts and Sciences
7667,Business
1442,Arts and Sciences
9555,Business
6087,Arts and Sciences
5915,Engineering
8196,Business
4898,Business
8157,Business
4682,Business
5394,Business
5567,Engineering
4191,Business
3019,Business
4775,Business
7506,Arts and Sciences
4154,Business
9937,Engineering
9213,Business
8556,Engineering
7134,Arts and Sciences
8642,Business
9387,Arts and Sciences
6861,Arts and Sciences
5970,Business
2226,Engineering
8486,Arts and Sciences
7167,Business
8227,Arts and Sciences
3095,Engineering
2358,Business
3590,Business
8645,Arts and Sciences
9803,Business
9365,Business
6193,Arts and Sciences
2923,Engineering
9208,Business
6106,Engineering
2736,Arts and Sciences
1243,Arts and Sciences
8685,Business
6050,Engineering
5654,Business
7666,Business
10328,Arts and Sciences
3470,Business
7417,Arts and Sciences
5269,Business
5855,Business
6076,Arts and Sciences
1462,Engineering
9464,Engineering
6055,Engineering
2649,Business
10751,Business
6071,Arts and Sciences
4115,Engineering
2847,Engineering
6957,Engineering
4281,Business
9855,Engineering
3367,Engineering
7286,Arts and Sciences
4523,Arts and Sciences
4929,Business
8062,Arts and Sciences
4073,Business
5651,Business
1785,Engineering
5540,Business
3222,Business
2446,Engineering
10761,Business
7443,Engineering
9113,Business
7524,Business
10694,Arts and Sciences
3091,Business
1798,Arts and Sciences
3911,Business
10372,Business
10576,Arts and Sciences
10705,Arts and Sciences
9330,Business
3606,Engineering
10344,Arts and Sciences
2843,Business
4805,Engineering
5277,Business
6731,Arts and Sciences
6028,Engineering
8577,Arts and Sciences
2965,Engineering
7988,Business
8786,Engineering
3177,Business
4307,Arts and Sciences
8523,Engineering
9883,Arts and Sciences
5314,Business
7975,Engineering
9922,Business
7995,Arts and Sciences
8626,Arts and Sciences
3814,Engineering
10513,Business
9425,Engineering
5161,Arts and Sciences
3304,Engineering
3000,Business
3699,Business
2227,Engineering
3393,Business
6078,Business
8460,Arts and Sciences
10561,Engineering
8899,Arts and Sciences
10235,Engineering
10269,Business
2039,Engineering
7956,Arts and Sciences
8977,Engineering
3336,Business
2326,Arts and Sciences
1639,Arts and Sciences
5703,Engineering
3849,Business
8998,Business
4434,Engineering
1672,Arts and Sciences
8406,Engineering
5075,Arts and Sciences
10233,Engineering
2399,Engineering
4254,Engineering
2029,Arts and Sciences
10089,Arts and Sciences
7217,Arts and Sciences
3616,Engineering
10206,Business
6124,Business
10878,Engineering
3342,Arts and Sciences
4977,Arts and Sciences
2217,Business
2463,Arts and Sciences
2954,Business
4400,Arts and Sciences
8963,Arts and Sciences
1478,Arts and Sciences
7411,Engineering
9839,Business
7661,Engineering
9234,Arts and Sciences
5845,Business
8233,Engineering
2955,Engineering
6815,Engineering
7754,Arts and Sciences
7260,Arts and Sciences
9852,Business
8804,Engineering
6300,Business
6417,Engineering
9652,Business
7557,Arts and Sciences
2970,Business
9606,Business
5526,Business
3677,Engineering
4662,Business
5626,Business
3787,Arts and Sciences
5884,Engineering
2363,Arts and Sciences
1916,Arts and Sciences
3764,Arts and Sciences
5208,Business
7566,Business
6503,Business
4844,Arts and Sciences
3541,Engineering
3601,Engineering
5145,Engineering
4462,Business
8404,Engineering
3591,Engineering
1369,Arts and Sciences
6822,Engineering
4998,Arts and Sciences
1295,Arts and Sciences
4639,Engineering
4241,Business
4956,Engineering
2138,Arts and Sciences
4244,Engineering
1751,Engineering
3112,Business
2072,Arts and Sciences
8686,Arts and Sciences
7549,Business
5292,Business
3275,Business
10833,Arts and Sciences
7170,Engineering
3807,Business
10905,Business
1800,Arts and Sciences
2590,Arts and Sciences
5513,Engineering
7284,Arts and Sciences
9052,Business
10214,Engineering
1599,Engineering
6140,Engineering
2381,Business
4090,Business
3887,Business
2347,Business
6077,Arts and Sciences
7020,Business
4312,Arts and Sciences
7570,Engineering
10912,Business
2166,Business
7424,Engineering
9013,Arts and Sciences
4813,Business
9420,Business
2773,Engineering
6444,Arts and Sciences
10495,Arts and Sciences
2415,Arts and Sciences
7464,Business
1569,Arts and Sciences
3886,Arts and Sciences
2221,Arts and Sciences
6838,Arts and Sciences
3533,Arts and Sciences
6979,Engineering
4157,Engineering
5278,Engineering
9600,Business
2602,Business
2854,Arts and Sciences
3066,Engineering
5344,Engineering
8959,Arts and Sciences
5427,Business
8978,Engineering
5730,Engineering
6712,Engineering
5296,Arts and Sciences
7797,Arts and Sciences
5049,Business
2975,Business
6112,Arts and Sciences
2623,Arts and Sciences
3870,Engineering
4537,Business
3973,Business
8173,Business
1529,Engineering
9030,Business
5814,Engineering
2809,Arts and Sciences
1312,Arts and Sciences
9223,Engineering
8805,Engineering
6595,Arts and Sciences
10276,Arts and Sciences
8950,Business
6203,Engineering
5895,Business
2983,Business
3500,Engineering
1311,Engineering
5279,Business
5474,Business
9123,Business
2987,Engineering
8911,Engineering
6695,Engineering
4965,Arts and Sciences
1981,Engineering
10084,Business
7660,Arts and Sciences
10557,Arts and Sciences
10823,Arts and Sciences
2999,Business
7164,Arts and Sciences
7115,Business
8447,Business
7739,Business
10175,Business
5523,Arts and Sciences
8331,Engineering
6749,Arts and Sciences
5891,Engineering
1390,Engineering
5355,Business
4147,Engineering
1274,Engineering
9283,Arts and Sciences
5652,Engineering
2132,Engineering
9271,Engineering
8554,Engineering
6828,Arts and Sciences
4054,Business
9908,Business
6442,Business
2388,Engineering
4019,Engineering
3426,Arts and Sciences
5047,Engineering
10279,Arts and Sciences
3871,Business
3385,Business
8678,Engineering
2259,Engineering
8110,Arts and Sciences
2869,Arts and Sciences
7334,Business
5073,Business
8006,Engineering
10548,Arts and Sciences
10539,Engineering
4503,Engineering
1076,Music
8206,Engineering
3089,Engineering
9265,Arts and Sciences
2637,Arts and Sciences
2748,Engineering
1245,Engineering
3176,Arts and Sciences
8822,Arts and Sciences
9099,Arts and Sciences
6139,Engineering
5721,Engineering
6175,Arts and Sciences
1938,Engineering
7263,Engineering
2535,Business
10496,Business
7776,Arts and Sciences
2993,Engineering
10888,Arts and Sciences
2301,Business
9282,Arts and Sciences
1965,Engineering
6790,Business
10225,Business
9382,Business
8483,Arts and Sciences
9459,Engineering
8566,Business
8544,Engineering
5390,Business
9073,Engineering
7444,Arts and Sciences
1714,Business
8359,Arts and Sciences
10356,Arts and Sciences
6054,Arts and Sciences
2849,Engineering
1757,Engineering
7917,Business
3247,Arts and Sciences
3146,Engineering
10299,Engineering
7152,Business
